Site do Objeto;ID Objeto;Descrição do Objeto;ID Ponto Teste;Descrição Ponto Teste;Cód Parâmetro;Descrição Parâmetros;Unid Medida;Valor Medido;Data Registro;Aviso;Tipo de Medição;Valores Registrados;ID Medição;Nota de Medição;Recurso Seq.
TLG;TLG2-NIT;ESTAÇÃO NIT FIAÇÃO;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 09:04;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-NIT;ESTAÇÃO NIT FIAÇÃO;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;14;12/05/2026 09:04;Criado por GETULIO;Leitura Registrada;14;;;
TLG;TLG2-PSG;ESTAÇÃO PÍZZARIA SAN GENARO;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 16:06;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-PSG;ESTAÇÃO PÍZZARIA SAN GENARO;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;11;12/05/2026 16:06;Criado por GETULIO;Leitura Registrada;11;;;
TLG;TLG2-RLP;ESTAÇÃO LAGOA DA PRATA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;6;12/05/2026 08:15;Criado por GETULIO;Leitura Registrada;6;;;
TLG;TLG2-RLP;ESTAÇÃO LAGOA DA PRATA;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;11;12/05/2026 08:15;Criado por GETULIO;Leitura Registrada;11;;;
TLG;TLG2-SHP-SSF;SHOPPING - SUPERMERCADO SÃO FRANCISCO;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 16:26;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-SHP-SSF;SHOPPING - SUPERMERCADO SÃO FRANCISCO;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;14;12/05/2026 16:26;Criado por GETULIO;Leitura Registrada;14;;;
TLG;TLG2-SNE3;ESTAÇÃO SUP. NOVA ESTRELA - QUARTEL;COG;cog tht e tbm;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 14:14;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-SNE3;ESTAÇÃO SUP. NOVA ESTRELA - QUARTEL;COG;cog tht e tbm;C_THT;THT COG 3min;mg/m3;15;12/05/2026 14:14;Criado por GETULIO;Leitura Registrada;15;;;
TLG;TLG2-ST;ESTAÇÃO SUPERMERCADO THOMÉ;COG;cog tht e tbm;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 09:55;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-ST;ESTAÇÃO SUPERMERCADO THOMÉ;COG;cog tht e tbm;C_THT;THT COG 3min;mg/m3;13;12/05/2026 09:55;Criado por GETULIO;Leitura Registrada;13;;;
TLG;TLG2-STL;ESTAÇÃO SITREL;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;8;22/05/2026 09:33;Criado por MERIVAN;Leitura Registrada;8;;;
TLG;TLG2-STL;ESTAÇÃO SITREL;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;16;22/05/2026 09:34;Criado por MERIVAN;Leitura Registrada;16;;X-am Gerele apontou 14;
TLG;TLG2-STL;ESTAÇÃO SITREL;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;8;22/05/2026 09:37;Criado por MERIVAN;Leitura Registrada;8;;X-am Gerele apontou 6;
TLG;TLG2-SVO;ESTAÇÃO RESTAURANTE SALVIANO;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 16:15;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-SVO;ESTAÇÃO RESTAURANTE SALVIANO;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;15;12/05/2026 16:15;Criado por GETULIO;Leitura Registrada;15;;;
